codgeo,ze2020,bpe_facilities_2023_total
02593,3221,19.0
02594,3221,6.0
02595,3209,4.0
02596,3209,20.0
02598,3221,16.0
02599,3220,6.0
02600,3214,10.0
02601,3214,5.0
02602,3214,64.0
02604,3220,1.0
02605,3220,2.0
02606,3209,2.0
02607,3221,5.0
02608,3217,18.0
02609,3214,2.0
02610,3221,14.0
02612,3221,6.0
02613,3214,17.0
02614,3220,6.0
02615,3220,6.0
02616,3221,2.0
02617,3214,14.0
02618,3220,20.0
02619,3214,13.0
02620,3221,12.0
02621,3214,7.0
02622,3209,1.0
02623,3217,1.0
02624,3220,6.0
02625,3220,2.0
02626,3214,9.0
02627,3214,3.0
02628,3221,8.0
02629,3220,9.0
02631,3220,6.0
02632,3214,1.0
02633,3221,3.0
02634,3214,2.0
02635,3220,5.0
02636,3220,4.0
02637,3220,1.0
02638,3214,7.0
02639,3220,9.0
02640,3220,2.0
02641,3214,2.0
02642,3214,9.0
02643,3221,26.0
02644,3221,6.0
02645,3209,3.0
02647,3220,1.0
02648,3220,89.0
02649,3209,7.0
02650,3217,11.0
02651,3214,1.0
02652,3214,3.0
02653,3209,11.0
02654,3220,2.0
02655,3209,3.0
02656,3214,9.0
02657,3217,2.0
02658,3220,7.0
02659,3220,17.0
02660,3214,3.0
02661,3214,12.0
02662,3209,8.0
02663,3221,7.0
02664,3209,13.0
02665,3209,5.0
02666,3214,53.0
02667,3221,6.0
02668,3220,54.0
02670,3217,5.0
02671,3221,8.0
02672,3221,4.0
02673,3221,15.0
02674,3214,2.0
02675,3214,3.0
02676,3214,72.0
02677,3209,7.0
02678,3214,1.0
02679,3209,3.0
02680,3214,75.0
02681,3217,9.0
02682,3221,3.0
02683,3220,3.0
02684,3217,93.0
02685,3214,2.0
02686,3220,5.0
02687,3221,10.0
02688,3217,1.0
02689,3214,1.0
02690,3214,8.0
02691,3220,1921.0
02693,3221,9.0
02694,3220,24.0
02696,3214,2.0
02697,3214,10.0
02698,3221,3.0
02699,3209,11.0
02701,3209,19.0
02702,3220,13.0
02703,3220,19.0
02704,3221,6.0
02705,3214,7.0
02706,3221,22.0
02707,3214,6.0
02708,3220,4.0
02709,3220,11.0
02710,3220,21.0
02711,3221,7.0
02712,3209,3.0
02713,3209,6.0
02714,3221,11.0
02715,3221,3.0
02716,3220,8.0
02717,3220,14.0
02718,3221,3.0
02719,3220,55.0
02720,3214,86.0
02721,3220,14.0
02722,3221,1175.0
02723,3214,3.0
02724,3209,1.0
02725,3217,2.0
02726,3220,6.0
02727,3214,6.0
02728,3217,4.0
02729,3221,2.0
02730,3221,6.0
02731,3220,3.0
02732,3220,2.0
02734,3221,6.0
02735,3221,1.0
02736,3221,2.0
02737,3214,13.0
02738,3220,305.0
02739,3221,8.0
02740,3217,4.0
02741,3220,12.0
02742,3214,5.0
02743,3214,5.0
02744,3209,2.0
02745,3214,1.0
02746,3220,7.0
02747,3220,5.0
02748,3209,23.0
02749,3221,1.0
02750,3221,16.0
02751,3214,6.0
02752,3220,5.0
02753,3220,14.0
02754,3220,3.0
02755,3214,28.0
02756,3220,19.0
02757,3220,11.0
02758,3221,80.0
02759,3217,12.0
02760,3220,4.0
02761,3214,14.0
02762,3221,4.0
02763,3221,4.0
02764,3214,5.0
02765,3214,4.0
02766,3221,3.0
02767,3221,7.0
02768,3221,9.0
02769,3220,18.0
02770,3221,50.0
02772,3220,2.0
02773,3221,2.0
02774,3220,2.0
02775,3220,14.0
02776,3220,15.0
02777,3209,3.0
02778,3214,2.0
02779,3220,2.0
02780,3221,39.0
02781,3209,14.0
02782,3220,4.0
02783,3220,2.0
02784,3220,2.0
02785,3220,44.0
02786,3221,8.0
02787,3214,7.0
02788,3214,14.0
02789,3217,135.0
02790,3214,5.0
02791,3214,7.0
02792,3209,4.0
02793,3221,6.0
02794,3209,5.0
02795,3221,63.0
02796,3209,2.0
02797,3221,7.0
02798,3209,54.0
02799,3221,17.0
02800,3209,6.0
02801,3214,6.0
02802,3214,5.0
02803,3214,6.0
02804,3221,5.0
02805,3221,112.0
02806,3209,6.0
02807,3220,18.0
02808,3220,5.0
02809,3209,5.0
02810,3221,349.0
02812,3221,2.0
02813,3220,9.0
02814,3220,1.0
02815,3220,7.0
02816,3209,15.0
02817,3221,3.0
02818,3209,29.0
02819,3214,5.0
02820,3220,62.0
02821,3214,14.0
02822,3221,11.0
02823,3214,2.0
