selected_strategy,ze2020,libze2020,actual_sum,persistence_abs_error,model_abs_error,abs_error_reduction_vs_persistence,persistence_wmape,model_wmape,wmape_delta_vs_persistence
fixed_huber_absolute_sitadel_energy_lambda_0_5,2711,Dijon,24243.0,1626.0,1873.9468219118307,-247.94682191183074,6.707090706595718,7.72984705651871,-1.0227563499229921
fixed_huber_absolute_sitadel_energy_lambda_0_5,2712,Dole,4010.0,214.0,100.509429904061,113.490570095939,5.336658354114713,2.5064695736673563,2.8301887804473562
fixed_huber_absolute_sitadel_energy_lambda_0_5,2713,Lons-le-Saunier,7912.0,566.0,634.1405123736836,-68.14051237368358,7.153690596562185,8.014920530506618,-0.8612299339444336
fixed_huber_absolute_sitadel_energy_lambda_0_5,2714,Montbéliard,7765.0,625.0,578.5750951009595,46.424904899040484,8.048937540244689,7.451063684494005,0.5978738557506835
fixed_huber_absolute_sitadel_energy_lambda_0_5,2715,Pontarlier,6162.0,411.0,456.27282297694614,-45.272822976946145,6.6699123661148985,7.404622248895588,-0.7347098827806899
fixed_huber_absolute_sitadel_energy_lambda_0_5,2716,Saint-Claude,2742.0,228.0,248.47838065294195,-20.47838065294195,8.315098468271334,9.061939484060611,-0.7468410157892773
fixed_huber_absolute_sitadel_energy_lambda_0_5,2717,Sens,6309.0,535.0,647.1629738478841,-112.16297384788413,8.479949278808052,10.257774193182504,-1.7778249143744524
fixed_huber_absolute_sitadel_energy_lambda_0_5,2718,Vesoul,5241.0,251.0,80.45010219477444,170.54989780522556,4.789162373592825,1.535014352123153,3.254148021469672
fixed_huber_absolute_sitadel_energy_lambda_0_5,2801,Argentan,1663.0,180.0,149.33655512594237,30.66344487405763,10.823812387251955,8.979949195787274,1.8438631914646813
fixed_huber_absolute_sitadel_energy_lambda_0_5,2802,Avranches,3574.0,180.0,162.96193658480024,17.03806341519976,5.036373810856184,4.559651275456078,0.4767225354001061
fixed_huber_absolute_sitadel_energy_lambda_0_5,2803,Bernay,3146.0,248.0,219.56626496750368,28.433735032496315,7.8830260648442465,6.979220119755363,0.9038059450888838
fixed_huber_absolute_sitadel_energy_lambda_0_5,2804,Caen,30992.0,2229.0,2465.810188430235,-236.81018843023503,7.192178626742384,7.9562796477485636,-0.7641010210061792
fixed_huber_absolute_sitadel_energy_lambda_0_5,2805,Cherbourg-en-Cotentin,6760.0,671.0,532.682070303593,138.31792969640696,9.92603550295858,7.87991228259753,2.04612322036105
fixed_huber_absolute_sitadel_energy_lambda_0_5,2806,Coutances,2817.0,376.0,416.3224570840806,-40.32245708408061,13.347532836350728,14.778929963936124,-1.4313971275853952
fixed_huber_absolute_sitadel_energy_lambda_0_5,2807,Dieppe-Caux maritime,5737.0,397.0,434.73738050073484,-37.737380500734844,6.919993027714834,7.577782473430972,-0.657789445716138
fixed_huber_absolute_sitadel_energy_lambda_0_5,2808,Évreux,9302.0,464.0,251.5194504540941,212.4805495459059,4.988174586110514,2.703928729887058,2.284245856223456
fixed_huber_absolute_sitadel_energy_lambda_0_5,2809,Flers,3278.0,327.0,361.0914921154791,-34.09149211547913,9.975594874923734,11.015603786317241,-1.0400089113935067
