year_month,ze2020,target_proxy_establishment_creations_count
2011-05,7508,82
2011-05,7509,138
2011-05,7510,236
2011-05,7511,134
2011-05,7512,401
2011-05,7513,264
2011-05,7514,167
2011-05,7515,108
2011-05,7516,223
2011-05,7517,310
2011-05,7518,136
2011-05,7519,148
2011-05,7520,222
2011-05,7521,87
2011-05,7522,373
2011-05,7523,237
2011-05,7524,300
2011-05,7525,108
2011-05,7526,248
2011-05,7527,95
2011-05,7528,160
2011-05,7529,122
2011-05,7530,56
2011-05,7531,111
2011-05,7532,125
2011-05,7601,172
2011-05,7602,263
2011-05,7603,268
2011-05,7604,216
2011-05,7605,91
2011-05,7606,408
2011-05,7607,127
2011-05,7608,291
2011-05,7609,83
2011-05,7610,167
2011-05,7611,119
2011-05,7612,203
2011-05,7613,95
2011-05,7614,98
2011-05,7615,230
2011-05,7616,1420
2011-05,7617,301
2011-05,7618,579
2011-05,7619,68
2011-05,7620,874
2011-05,7621,141
2011-05,7622,169
2011-05,7623,190
2011-05,7624,306
2011-05,7625,1915
2011-05,8401,442
2011-05,8402,221
2011-05,8403,76
2011-05,8404,62
2011-05,8405,250
2011-05,8406,257
2011-05,8407,306
2011-05,8408,519
2011-05,8409,802
2011-05,8410,89
2011-05,8411,61
2011-05,8412,102
2011-05,8413,249
2011-05,8414,108
2011-05,8415,173
2011-05,8416,351
2011-05,8417,90
2011-05,8418,131
2011-05,8419,130
2011-05,8420,104
2011-05,8421,1617
2011-05,8422,142
2011-05,8423,136
2011-05,8424,79
2011-05,8425,52
2011-05,8426,149
2011-05,8427,132
2011-05,8428,599
2011-05,8429,48
2011-05,8430,49
2011-05,8431,381
2011-05,8432,158
2011-05,8433,301
2011-05,8434,201
2011-05,8435,224
2011-05,9301,692
2011-05,9302,83
2011-05,9303,258
2011-05,9304,1109
2011-05,9305,170
2011-05,9306,241
2011-05,9307,157
2011-05,9308,214
2011-05,9309,290
2011-05,9310,187
2011-05,9311,139
2011-05,9312,547
2011-05,9313,381
2011-05,9314,140
2011-05,9315,1314
2011-05,9316,89
2011-05,9317,187
2011-05,9318,1013
2011-06,0051,122
2011-06,0052,241
2011-06,0053,454
2011-06,0054,297
2011-06,0055,96
2011-06,0056,92
2011-06,0057,154
2011-06,0058,72
2011-06,0059,206
2011-06,0060,138
2011-06,0061,64
2011-06,0062,81
2011-06,0063,77
2011-06,0064,85
2011-06,1101,608
2011-06,1102,72
2011-06,1103,101
2011-06,1104,609
2011-06,1105,236
2011-06,1106,513
2011-06,1107,175
2011-06,1108,191
2011-06,1109,6251
2011-06,1110,59
2011-06,1111,94
2011-06,1112,952
2011-06,1113,535
