country,sector,source_region,target_region,bootstrap_frequency,promoted_stable_edge
FR,RU,2706,9306,0.03015075376884422,0
FR,LZ,5217,7503,0.03015075376884422,0
FR,RU,1107,7616,0.03015075376884422,0
FR,GI,1110,7515,0.03015075376884422,0
FR,KZ,3214,60,0.03015075376884422,0
FR,RU,3202,9318,0.03015075376884422,0
FR,OQ,3204,7532,0.03015075376884422,0
FR,LZ,2711,7503,0.03015075376884422,0
FR,MN,5315,8401,0.03015075376884422,0
FR,BE,4403,5204,0.02512562814070352,0
FR,FZ,8433,9312,0.02512562814070352,0
FR,FZ,5210,8402,0.02512562814070352,0
FR,RU,7505,8405,0.02512562814070352,0
FR,BE,3216,8409,0.02512562814070352,0
FR,FZ,4418,8428,0.02512562814070352,0
FR,GI,4418,5207,0.02512562814070352,0
FR,GI,9304,9312,0.02512562814070352,0
FR,FZ,8407,8416,0.02512562814070352,0
FR,LZ,2409,4407,0.02512562814070352,0
FR,MN,1101,1114,0.02512562814070352,0
FR,MN,2815,3213,0.02512562814070352,0
FR,OQ,5203,7625,0.02512562814070352,0
FR,RU,2708,5307,0.02512562814070352,0
FR,MN,3202,9311,0.02512562814070352,0
FR,BE,51,57,0.02512562814070352,0
FR,KZ,2704,8421,0.02512562814070352,0
FR,BE,8405,8416,0.02512562814070352,0
FR,BE,2811,53,0.02512562814070352,0
FR,FZ,3205,54,0.02512562814070352,0
FR,GI,1106,51,0.02512562814070352,0
FR,OQ,4427,5310,0.02512562814070352,0
FR,MN,1106,3211,0.02512562814070352,0
FR,OQ,2817,8420,0.020100502512562814,0
FR,OQ,7525,9315,0.020100502512562814,0
FR,MN,2811,8416,0.020100502512562814,0
FR,BE,7504,7526,0.020100502512562814,0
FR,RU,5214,53,0.020100502512562814,0
FR,JZ,5309,8433,0.020100502512562814,0
FR,BE,2712,3217,0.020100502512562814,0
FR,FZ,1109,1114,0.020100502512562814,0
FR,FZ,4413,7612,0.020100502512562814,0
FR,GI,2413,5202,0.020100502512562814,0
FR,GI,1114,1115,0.020100502512562814,0
FR,JZ,3214,5307,0.020100502512562814,0
FR,LZ,1105,2806,0.020100502512562814,0
FR,FZ,4411,9313,0.020100502512562814,0
FR,JZ,4415,8406,0.020100502512562814,0
FR,BE,7605,8428,0.020100502512562814,0
FR,GI,2815,3205,0.020100502512562814,0
FR,MN,4411,9308,0.020100502512562814,0
FR,MN,1101,1113,0.020100502512562814,0
FR,KZ,4422,9311,0.020100502512562814,0
FR,GI,8402,9317,0.020100502512562814,0
FR,MN,1109,1115,0.020100502512562814,0
FR,GI,1108,5212,0.020100502512562814,0
FR,KZ,4417,5205,0.020100502512562814,0
FR,LZ,5204,9314,0.020100502512562814,0
FR,JZ,2819,5215,0.01507537688442211,0
FR,KZ,3220,4401,0.01507537688442211,0
FR,LZ,8430,9310,0.01507537688442211,0
FR,OQ,4413,7604,0.01507537688442211,0
FR,RU,2409,5216,0.01507537688442211,0
FR,OQ,5302,8421,0.01507537688442211,0
FR,RU,5306,7610,0.01507537688442211,0
FR,KZ,3218,3221,0.01507537688442211,0
FR,RU,2406,2413,0.01507537688442211,0
FR,GI,5302,7517,0.01507537688442211,0
FR,MN,4410,4418,0.01507537688442211,0
FR,RU,1107,7505,0.01507537688442211,0
FR,FZ,2401,3204,0.01507537688442211,0
FR,MN,3216,4423,0.01507537688442211,0
FR,JZ,5309,9310,0.01507537688442211,0
FR,KZ,3218,9317,0.01507537688442211,0
FR,JZ,63,7520,0.01507537688442211,0
FR,LZ,2402,51,0.01507537688442211,0
FR,FZ,4422,7620,0.01507537688442211,0
FR,KZ,64,9304,0.01507537688442211,0
FR,LZ,2410,3205,0.01507537688442211,0
FR,RU,5201,5315,0.01507537688442211,0
FR,FZ,2715,5310,0.01507537688442211,0
FR,JZ,5206,5315,0.01507537688442211,0
FR,KZ,5201,7516,0.01507537688442211,0
FR,KZ,56,7607,0.01507537688442211,0
FR,FZ,4418,9309,0.01507537688442211,0
FR,GI,2815,3202,0.01507537688442211,0
FR,FZ,8406,8408,0.01507537688442211,0
FR,JZ,2403,3206,0.01507537688442211,0
FR,FZ,2819,5311,0.01507537688442211,0
FR,FZ,5302,8405,0.01507537688442211,0
FR,RU,4413,8402,0.01507537688442211,0
FR,JZ,5311,8417,0.01507537688442211,0
FR,LZ,2710,7609,0.01507537688442211,0
FR,RU,2715,9305,0.01507537688442211,0
FR,GI,4411,7520,0.01507537688442211,0
FR,OQ,2408,3222,0.01507537688442211,0
FR,MN,2802,7511,0.01507537688442211,0
FR,KZ,5317,7505,0.01507537688442211,0
FR,FZ,7514,9316,0.010050251256281407,0
FR,KZ,3208,3218,0.010050251256281407,0
FR,OQ,7606,8432,0.010050251256281407,0
FR,JZ,2413,7520,0.010050251256281407,0
FR,BE,8412,8429,0.010050251256281407,0
FR,KZ,2404,7522,0.010050251256281407,0
FR,FZ,7523,9305,0.010050251256281407,0
FR,KZ,3206,7519,0.010050251256281407,0
FR,FZ,1101,5201,0.010050251256281407,0
FR,KZ,2703,8419,0.010050251256281407,0
FR,BE,2403,7603,0.010050251256281407,0
FR,GI,1104,2808,0.010050251256281407,0
FR,OQ,2806,3204,0.010050251256281407,0
FR,OQ,3219,5216,0.010050251256281407,0
FR,RU,4409,5313,0.010050251256281407,0
